state,days_since_tenth_death,deaths_per_million_smoothed,total_deaths_per_million,deaths_per_million_smoothed_yesterday,total_deaths
NC,0,0.3238135045352855,19.935244163403514,4.148647206814679,207
NC,1,0.4330243406973295,19.935244163403514,4.148647206814679,207
NC,2,0.5856576763447974,19.935244163403514,4.148647206814679,207
NC,3,0.7974788089868458,19.935244163403514,4.148647206814679,207
NC,4,1.0805134931046287,19.935244163403514,4.148647206814679,207
NC,5,1.438559007292027,19.935244163403514,4.148647206814679,207
NC,6,1.8614740379510868,19.935244163403514,4.148647206814679,207
NC,7,2.3483200597869844,19.935244163403514,4.148647206814679,207
NC,8,2.8959860015863526,19.935244163403514,4.148647206814679,207
NC,9,3.498172132745326,19.935244163403514,4.148647206814679,207
NC,10,4.148647206814679,19.935244163403514,4.148647206814679,207
TX,0,0.15316436810627565,33.83057779038247,5.379442382852077,971
TX,1,0.17329514316729602,33.83057779038247,5.379442382852077,971
TX,2,0.1979215143997753,33.83057779038247,5.379442382852077,971
TX,3,0.2519548262838803,33.83057779038247,5.379442382852077,971
TX,4,0.32415205939883324,33.83057779038247,5.379442382852077,971
TX,5,0.44244905332567114,33.83057779038247,5.379442382852077,971
TX,6,0.6133228619178399,33.83057779038247,5.379442382852077,971
TX,7,0.7926161544575853,33.83057779038247,5.379442382852077,971
TX,8,0.9574950319698968,33.83057779038247,5.379442382852077,971
TX,9,1.1022919173193289,33.83057779038247,5.379442382852077,971
TX,10,1.234022231776239,33.83057779038247,5.379442382852077,971
TX,11,1.5011557381718723,33.83057779038247,5.379442382852077,971
TX,12,1.9510519769889936,33.83057779038247,5.379442382852077,971
TX,13,2.485699730150786,33.83057779038247,5.379442382852077,971
TX,14,3.092947556711163,33.83057779038247,5.379442382852077,971
TX,15,3.7202241048850984,33.83057779038247,5.379442382852077,971
TX,16,4.348566258159725,33.83057779038247,5.379442382852077,971
TX,17,4.889637684664522,33.83057779038247,5.379442382852077,971
TX,18,5.379442382852077,33.83057779038247,5.379442382852077,971
MN,0,0.7163203196005501,39.385662086345846,6.026459666743369,221
MN,1,1.0320252992208725,39.385662086345846,6.026459666743369,221
MN,2,1.4092292180098116,39.385662086345846,6.026459666743369,221
MN,3,1.8325960982189338,39.385662086345846,6.026459666743369,221
MN,4,2.29789268277995,39.385662086345846,6.026459666743369,221
MN,5,2.797742837592928,39.385662086345846,6.026459666743369,221
MN,6,3.3161553856035924,39.385662086345846,6.026459666743369,221
MN,7,3.8496180125475576,39.385662086345846,6.026459666743369,221
MN,8,4.392145826209178,39.385662086345846,6.026459666743369,221
MN,9,4.938923351821634,39.385662086345846,6.026459666743369,221
MN,10,5.482107988932132,39.385662086345846,6.026459666743369,221
MN,11,6.026459666743369,39.385662086345846,6.026459666743369,221
AR,0,1.6590213433063226,43.13455492604913,5.308868298590421,130
AR,1,1.9908256119730405,43.13455492604913,5.308868298590421,130
AR,2,2.3226298806323458,43.13455492604913,5.308868298590421,130
AR,3,2.6544341492962107,43.13455492604913,5.308868298590421,130
AR,4,3.318042686620423,43.13455492604913,5.308868298590421,130
AR,5,3.981651223938926,43.13455492604913,5.308868298590421,130
AR,6,3.981651223946905,43.13455492604913,5.308868298590421,130
AR,7,4.645259761266379,43.13455492604913,5.308868298590421,130
AR,8,5.308868298588556,43.13455492604913,5.308868298590421,130
AR,9,5.308868298592113,43.13455492604913,5.308868298590421,130
AR,10,5.308868298590421,43.13455492604913,5.308868298590421,130
IA,0,1.2673688946493393,45.308437983679454,8.23789781521464,143
IA,1,1.9010533419699744,45.308437983679454,8.23789781521464,143
IA,2,2.2178955656364936,45.308437983679454,8.23789781521464,143
IA,3,2.85158001295977,45.308437983679454,8.23789781521464,143
IA,4,3.4852644602793936,45.308437983679454,8.23789781521464,143
IA,5,3.485264460283428,45.308437983679454,8.23789781521464,143
IA,6,4.43579113127708,45.308437983679454,8.23789781521464,143
IA,7,6.970528920557321,45.308437983679454,8.23789781521464,143
IA,8,7.921055591555009,45.308437983679454,8.23789781521464,143
IA,9,8.23789781521464,45.308437983679454,8.23789781521464,143
MO,0,0.5311886173297693,47.4989439238241,8.439101074711237,291
MO,1,0.7296517754737533,47.4989439238241,8.439101074711237,291
MO,2,1.0547827117450121,47.4989439238241,8.439101074711237,291
MO,3,1.2724648053690237,47.4989439238241,8.439101074711237,291
MO,4,1.4022773358021576,47.4989439238241,8.439101074711237,291
MO,5,1.5551843691374643,47.4989439238241,8.439101074711237,291
MO,6,1.7544949058738775,47.4989439238241,8.439101074711237,291
MO,7,2.052218688412053,47.4989439238241,8.439101074711237,291
MO,8,2.391480392108974,47.4989439238241,8.439101074711237,291
MO,9,2.731635122697423,47.4989439238241,8.439101074711237,291
MO,10,2.984392624522129,47.4989439238241,8.439101074711237,291
MO,11,3.3273109785378407,47.4989439238241,8.439101074711237,291
MO,12,4.080400119161201,47.4989439238241,8.439101074711237,291
MO,13,5.26171796431286,47.4989439238241,8.439101074711237,291
MO,14,6.7017639007158785,47.4989439238241,8.439101074711237,291
MO,15,8.439101074711237,47.4989439238241,8.439101074711237,291
