country,iso3c,days_since_tenth_death,deaths_per_million_smoothed,total_deaths_per_million,deaths_per_million_smoothed_yesterday
Indonesia,IDN,0,0.016772573427693213,0.5865575176527194,0.05566771798851297
Indonesia,IDN,1,0.019019561367796076,0.5865575176527194,0.05566771798851297
Indonesia,IDN,2,0.021358623111858918,0.5865575176527194,0.05566771798851297
Indonesia,IDN,3,0.023790665836322396,0.5865575176527194,0.05566771798851297
Indonesia,IDN,4,0.026317314594630346,0.5865575176527194,0.05566771798851297
Indonesia,IDN,5,0.028942632365313505,0.5865575176527194,0.05566771798851297
Indonesia,IDN,6,0.03166787193399924,0.5865575176527194,0.05566771798851297
Indonesia,IDN,7,0.03448997952570821,0.5865575176527194,0.05566771798851297
Indonesia,IDN,8,0.03739099339559768,0.5865575176527194,0.05566771798851297
Indonesia,IDN,9,0.040346842927718764,0.5865575176527194,0.05566771798851297
Indonesia,IDN,10,0.04334624107900962,0.5865575176527194,0.05566771798851297
Indonesia,IDN,11,0.046382427923187135,0.5865575176527194,0.05566771798851297
Indonesia,IDN,12,0.04945243364726028,0.5865575176527194,0.05566771798851297
Indonesia,IDN,13,0.05255207715986585,0.5865575176527194,0.05566771798851297
Indonesia,IDN,14,0.05566771798851297,0.5865575176527194,0.05566771798851297
Brazil,BRA,0,0.022980672622987173,1.1457524429124908,0.18671051630310778
Brazil,BRA,1,0.021490569256567848,1.1457524429124908,0.18671051630310778
Brazil,BRA,2,0.04240794106982849,1.1457524429124908,0.18671051630310778
Brazil,BRA,3,0.05001749066286445,1.1457524429124908,0.18671051630310778
Brazil,BRA,4,0.05171719378755716,1.1457524429124908,0.18671051630310778
Brazil,BRA,5,0.06590721541859372,1.1457524429124908,0.18671051630310778
Brazil,BRA,6,0.08129959446142171,1.1457524429124908,0.18671051630310778
Brazil,BRA,7,0.07704357207302229,1.1457524429124908,0.18671051630310778
Brazil,BRA,8,0.08708597458190233,1.1457524429124908,0.18671051630310778
Brazil,BRA,9,0.12001736624536388,1.1457524429124908,0.18671051630310778
Brazil,BRA,10,0.11107633775909384,1.1457524429124908,0.18671051630310778
Brazil,BRA,11,0.19904861084925082,1.1457524429124908,0.18671051630310778
Brazil,BRA,12,0.18671051630310778,1.1457524429124908,0.18671051630310778
China,CHN,0,2.106664670952391e-4,2.3809352853747674,0.002013105098924505
China,CHN,1,0.00414682768606128,2.3809352853747674,0.002013105098924505
China,CHN,2,0.008098012967596154,2.3809352853747674,0.002013105098924505
China,CHN,3,0.012075721359639595,2.3809352853747674,0.002013105098924505
China,CHN,4,0.016089048757638974,2.3809352853747674,0.002013105098924505
China,CHN,5,0.020142577662868668,2.3809352853747674,0.002013105098924505
China,CHN,6,0.0242383948788699,2.3809352853747674,0.002013105098924505
China,CHN,7,0.02837618926692203,2.3809352853747674,0.002013105098924505
China,CHN,8,0.03256008783368841,2.3809352853747674,0.002013105098924505
China,CHN,9,0.03676987170382554,2.3809352853747674,0.002013105098924505
China,CHN,10,0.040976186749012884,2.3809352853747674,0.002013105098924505
China,CHN,11,0.045139148342870875,2.3809352853747674,0.002013105098924505
China,CHN,12,0.04921704258899059,2.3809352853747674,0.002013105098924505
China,CHN,13,0.053190907641990075,2.3809352853747674,0.002013105098924505
China,CHN,14,0.057041649613990116,2.3809352853747674,0.002013105098924505
China,CHN,15,0.06074635327620875,2.3809352853747674,0.002013105098924505
China,CHN,16,0.0642717886373647,2.3809352853747674,0.002013105098924505
China,CHN,17,0.06757451021293973,2.3809352853747674,0.002013105098924505
China,CHN,18,0.07060350080019928,2.3809352853747674,0.002013105098924505
China,CHN,19,0.0733046334015767,2.3809352853747674,0.002013105098924505
China,CHN,20,0.07562336430523497,2.3809352853747674,0.002013105098924505
China,CHN,21,0.07751483691086963,2.3809352853747674,0.002013105098924505
China,CHN,22,0.07888807383055749,2.3809352853747674,0.002013105098924505
China,CHN,23,0.07964942815552115,2.3809352853747674,0.002013105098924505
China,CHN,24,0.07975813559256983,2.3809352853747674,0.002013105098924505
China,CHN,25,0.07923319379334766,2.3809352853747674,0.002013105098924505
China,CHN,26,0.07811893647804251,2.3809352853747674,0.002013105098924505
China,CHN,27,0.07645585830505754,2.3809352853747674,0.002013105098924505
China,CHN,28,0.07428527512068245,2.3809352853747674,0.002013105098924505
China,CHN,29,0.07166625383895624,2.3809352853747674,0.002013105098924505
China,CHN,30,0.06867938617524455,2.3809352853747674,0.002013105098924505
China,CHN,31,0.06538063545114088,2.3809352853747674,0.002013105098924505
China,CHN,32,0.061824825301860946,2.3809352853747674,0.002013105098924505
China,CHN,33,0.058085064319681745,2.3809352853747674,0.002013105098924505
China,CHN,34,0.05421671978329635,2.3809352853747674,0.002013105098924505
China,CHN,35,0.050303870968134295,2.3809352853747674,0.002013105098924505
China,CHN,36,0.04643653489309857,2.3809352853747674,0.002013105098924505
China,CHN,37,0.04268576806868874,2.3809352853747674,0.002013105098924505
China,CHN,38,0.03909521163060546,2.3809352853747674,0.002013105098924505
China,CHN,39,0.035692959585010994,2.3809352853747674,0.002013105098924505
China,CHN,40,0.03249382482733253,2.3809352853747674,0.002013105098924505
China,CHN,41,0.029507479884111336,2.3809352853747674,0.002013105098924505
China,CHN,42,0.026734065336265794,2.3809352853747674,0.002013105098924505
China,CHN,43,0.024168997169352616,2.3809352853747674,0.002013105098924505
China,CHN,44,0.021805008308179625,2.3809352853747674,0.002013105098924505
China,CHN,45,0.019633910434119356,2.3809352853747674,0.002013105098924505
China,CHN,46,0.017646155001182346,2.3809352853747674,0.002013105098924505
China,CHN,47,0.015833009925762993,2.3809352853747674,0.002013105098924505
China,CHN,48,0.014188408650650445,2.3809352853747674,0.002013105098924505
China,CHN,49,0.01270582032054639,2.3809352853747674,0.002013105098924505
China,CHN,50,0.011378662178737394,2.3809352853747674,0.002013105098924505
China,CHN,51,0.010200729653129991,2.3809352853747674,0.002013105098924505
China,CHN,52,0.009162704832034442,2.3809352853747674,0.002013105098924505
China,CHN,53,0.008250677487111141,2.3809352853747674,0.002013105098924505
China,CHN,54,0.0074495701046187225,2.3809352853747674,0.002013105098924505
China,CHN,55,0.006744075363066483,2.3809352853747674,0.002013105098924505
China,CHN,56,0.006121316542267679,2.3809352853747674,0.002013105098924505
China,CHN,57,0.005572271667738148,2.3809352853747674,0.002013105098924505
China,CHN,58,0.005089122150086629,2.3809352853747674,0.002013105098924505
China,CHN,59,0.004664760777074261,2.3809352853747674,0.002013105098924505
China,CHN,60,0.0042899246704534155,2.3809352853747674,0.002013105098924505
China,CHN,61,0.00395634068692874,2.3809352853747674,0.002013105098924505
China,CHN,62,0.0036590130933290637,2.3809352853747674,0.002013105098924505
China,CHN,63,0.0033933754049637263,2.3809352853747674,0.002013105098924505
China,CHN,64,0.0031536328014180747,2.3809352853747674,0.002013105098924505
China,CHN,65,0.0029343785738840385,2.3809352853747674,0.002013105098924505
China,CHN,66,0.0027315234467154338,2.3809352853747674,0.002013105098924505
China,CHN,67,0.002541255088015172,2.3809352853747674,0.002013105098924505
China,CHN,68,0.0023599179335062922,2.3809352853747674,0.002013105098924505
China,CHN,69,0.002184795606236756,2.3809352853747674,0.002013105098924505
China,CHN,70,0.002013105098924505,2.3809352853747674,0.002013105098924505
Canada,CAN,0,0.08857335162180324,2.9412672641594764,0.3420319913576859
Canada,CAN,1,0.10399122993089537,2.9412672641594764,0.3420319913576859
Canada,CAN,2,0.12072248653392242,2.9412672641594764,0.3420319913576859
Canada,CAN,3,0.13882501831301947,2.9412672641594764,0.3420319913576859
Canada,CAN,4,0.15829359535999243,2.9412672641594764,0.3420319913576859
Canada,CAN,5,0.1790690249863661,2.9412672641594764,0.3420319913576859
Canada,CAN,6,0.20093321268985526,2.9412672641594764,0.3420319913576859
Canada,CAN,7,0.223558866691619,2.9412672641594764,0.3420319913576859
Canada,CAN,8,0.24674321185005155,2.9412672641594764,0.3420319913576859
Canada,CAN,9,0.27034768831553835,2.9412672641594764,0.3420319913576859
Canada,CAN,10,0.2942641246100067,2.9412672641594764,0.3420319913576859
Canada,CAN,11,0.31818900008747514,2.9412672641594764,0.3420319913576859
Canada,CAN,12,0.3420319913576859,2.9412672641594764,0.3420319913576859
"Korea, South",KOR,0,0.03665617804774332,3.1954910807452954,0.11826866673793876
"Korea, South",KOR,1,0.0392245345456773,3.1954910807452954,0.11826866673793876
"Korea, South",KOR,2,0.041820987097622914,3.1954910807452954,0.11826866673793876
"Korea, South",KOR,3,0.0444381842873238,3.1954910807452954,0.11826866673793876
"Korea, South",KOR,4,0.0470666753302372,3.1954910807452954,0.11826866673793876
"Korea, South",KOR,5,0.04969429161947145,3.1954910807452954,0.11826866673793876
"Korea, South",KOR,6,0.05230761452659543,3.1954910807452954,0.11826866673793876
"Korea, South",KOR,7,0.05489512577555898,3.1954910807452954,0.11826866673793876
"Korea, South",KOR,8,0.0574531952466527,3.1954910807452954,0.11826866673793876
"Korea, South",KOR,9,0.05997904319829897,3.1954910807452954,0.11826866673793876
"Korea, South",KOR,10,0.062471397623829084,3.1954910807452954,0.11826866673793876
"Korea, South",KOR,11,0.06492992809438494,3.1954910807452954,0.11826866673793876
"Korea, South",KOR,12,0.06735594753453092,3.1954910807452954,0.11826866673793876
"Korea, South",KOR,13,0.06975141442409395,3.1954910807452954,0.11826866673793876
"Korea, South",KOR,14,0.07212106834721356,3.1954910807452954,0.11826866673793876
"Korea, South",KOR,15,0.07446747903238764,3.1954910807452954,0.11826866673793876
