country,iso3c,days_since_tenth_death,deaths_per_million_smoothed,total_deaths_per_million,deaths_per_million_smoothed_yesterday
India,IND,0,0.0010122212399110001,0.35930339641486536,0.026702852951295045
India,IND,1,0.0013127051888478089,0.35930339641486536,0.026702852951295045
India,IND,2,0.0016904281247056506,0.35930339641486536,0.026702852951295045
India,IND,3,0.0021561343564202745,0.35930339641486536,0.026702852951295045
India,IND,4,0.0027301754081222864,0.35930339641486536,0.026702852951295045
India,IND,5,0.0034363011251717077,0.35930339641486536,0.026702852951295045
India,IND,6,0.004297052680958028,0.35930339641486536,0.026702852951295045
India,IND,7,0.005321886201540514,0.35930339641486536,0.026702852951295045
India,IND,8,0.006509957277562457,0.35930339641486536,0.026702852951295045
India,IND,9,0.007836433558343191,0.35930339641486536,0.026702852951295045
India,IND,10,0.009283907441796042,0.35930339641486536,0.026702852951295045
India,IND,11,0.010849548783262783,0.35930339641486536,0.026702852951295045
India,IND,12,0.012554734594047047,0.35930339641486536,0.026702852951295045
India,IND,13,0.014352695583573135,0.35930339641486536,0.026702852951295045
India,IND,14,0.01617175296171566,0.35930339641486536,0.026702852951295045
India,IND,15,0.01792725115016364,0.35930339641486536,0.026702852951295045
India,IND,16,0.01955947754762872,0.35930339641486536,0.026702852951295045
India,IND,17,0.021012990642720098,0.35930339641486536,0.026702852951295045
India,IND,18,0.022233549443062668,0.35930339641486536,0.026702852951295045
India,IND,19,0.0232203973801564,0.35930339641486536,0.026702852951295045
India,IND,20,0.023991108962555678,0.35930339641486536,0.026702852951295045
India,IND,21,0.024588583625153617,0.35930339641486536,0.026702852951295045
India,IND,22,0.025094791528867,0.35930339641486536,0.026702852951295045
India,IND,23,0.025595060709607587,0.35930339641486536,0.026702852951295045
India,IND,24,0.026137615209867876,0.35930339641486536,0.026702852951295045
India,IND,25,0.026702852951295045,0.35930339641486536,0.026702852951295045
Pakistan,PAK,0,0.010294342077851138,0.6361472135126338,0.051427836175903435
Pakistan,PAK,1,0.011820564564931683,0.6361472135126338,0.051427836175903435
Pakistan,PAK,2,0.013410190247116854,0.6361472135126338,0.051427836175903435
Pakistan,PAK,3,0.014955666663874429,0.6361472135126338,0.051427836175903435
Pakistan,PAK,4,0.016361231178670065,0.6361472135126338,0.051427836175903435
Pakistan,PAK,5,0.017626021995500563,0.6361472135126338,0.051427836175903435
Pakistan,PAK,6,0.01876398574427065,0.6361472135126338,0.051427836175903435
Pakistan,PAK,7,0.019798243237085875,0.6361472135126338,0.051427836175903435
Pakistan,PAK,8,0.02079791758832297,0.6361472135126338,0.051427836175903435
Pakistan,PAK,9,0.021842861251532165,0.6361472135126338,0.051427836175903435
Pakistan,PAK,10,0.023007451503344895,0.6361472135126338,0.051427836175903435
