country,iso3c,deaths,days_since_tenth_death,deaths_per_million_smoothed,total_deaths_per_million,deaths_per_million_smoothed_yesterday
India,IND,3,0,0.0010203110954498194,0.5034683394208298,0.0304088149752965
India,IND,0,1,0.001335848843787539,0.5034683394208298,0.0304088149752965
India,IND,2,2,0.001730254032991052,0.5034683394208298,0.0304088149752965
India,IND,8,3,0.002217566973512067,0.5034683394208298,0.0304088149752965
India,IND,0,4,0.0028115367692555025,0.5034683394208298,0.0304088149752965
India,IND,4,5,0.0035339869449820672,0.5034683394208298,0.0304088149752965
India,IND,3,6,0.004406388823246878,0.5034683394208298,0.0304088149752965
India,IND,5,7,0.0054371894650986,0.5034683394208298,0.0304088149752965
India,IND,3,8,0.006620610808614058,0.5034683394208298,0.0304088149752965
India,IND,23,9,0.007941037301309416,0.5034683394208298,0.0304088149752965
India,IND,14,10,0.009367123145845771,0.5034683394208298,0.0304088149752965
India,IND,0,11,0.010908287693493035,0.5034683394208298,0.0304088149752965
India,IND,14,12,0.0125726736086031,0.5034683394208298,0.0304088149752965
India,IND,13,13,0.014315639250711656,0.5034683394208298,0.0304088149752965
India,IND,37,14,0.016074315116745497,0.5034683394208298,0.0304088149752965
India,IND,14,15,0.01777258367432924,0.5034683394208298,0.0304088149752965
India,IND,28,16,0.01935681206995211,0.5034683394208298,0.0304088149752965
India,IND,48,17,0.020777739483221522,0.5034683394208298,0.0304088149752965
India,IND,20,18,0.021988489289639614,0.5034683394208298,0.0304088149752965
India,IND,42,19,0.022989327896276487,0.5034683394208298,0.0304088149752965
India,IND,43,20,0.023796837020211122,0.5034683394208298,0.0304088149752965
India,IND,27,21,0.024450872494797493,0.5034683394208298,0.0304088149752965
India,IND,35,22,0.02502584489873534,0.5034683394208298,0.0304088149752965
India,IND,12,23,0.0255992645150985,0.5034683394208298,0.0304088149752965
India,IND,43,24,0.026217683894561684,0.5034683394208298,0.0304088149752965
India,IND,38,25,0.02687227395769891,0.5034683394208298,0.0304088149752965
India,IND,35,26,0.02754775003673095,0.5034683394208298,0.0304088149752965
India,IND,38,27,0.028249026460516108,0.5034683394208298,0.0304088149752965
