country,iso3c,deaths,days_since_tenth_death,deaths_per_million_smoothed,total_deaths_per_million,deaths_per_million_smoothed_yesterday
India,IND,3,0,0.0010473190293088866,0.745221859230832,0.04509363207855757
India,IND,0,1,0.0013832341467080954,0.745221859230832,0.04509363207855757
India,IND,2,2,0.0018008423348590216,0.745221859230832,0.04509363207855757
India,IND,8,3,0.0023103606420643756,0.745221859230832,0.04509363207855757
India,IND,0,4,0.0029277014629454944,0.745221859230832,0.04509363207855757
India,IND,4,5,0.0036705876833644023,0.745221859230832,0.04509363207855757
India,IND,3,6,0.004554625439846969,0.745221859230832,0.04509363207855757
India,IND,5,7,0.0055851001425712725,0.745221859230832,0.04509363207855757
India,IND,3,8,0.006758690245508545,0.745221859230832,0.04509363207855757
India,IND,23,9,0.008052249335973063,0.745221859230832,0.04509363207855757
India,IND,14,10,0.00945326972169906,0.745221859230832,0.04509363207855757
India,IND,0,11,0.01095345152061162,0.745221859230832,0.04509363207855757
India,IND,14,12,0.01254469149184274,0.745221859230832,0.04509363207855757
India,IND,13,13,0.014205067734113475,0.745221859230832,0.04509363207855757
India,IND,37,14,0.01586436634927753,0.745221859230832,0.04509363207855757
India,IND,14,15,0.01746722276241032,0.745221859230832,0.04509363207855757
India,IND,28,16,0.018962863634195033,0.745221859230832,0.04509363207855757
India,IND,48,17,0.020298791088975043,0.745221859230832,0.04509363207855757
India,IND,20,18,0.021454429861373088,0.745221859230832,0.04509363207855757
India,IND,42,19,0.022424483087439658,0.745221859230832,0.04509363207855757
India,IND,43,20,0.02323025684828079,0.745221859230832,0.04509363207855757
India,IND,27,21,0.02391093781326629,0.745221859230832,0.04509363207855757
India,IND,35,22,0.02454685046196561,0.745221859230832,0.04509363207855757
India,IND,12,23,0.02521442273474794,0.745221859230832,0.04509363207855757
India,IND,43,24,0.025971989845573605,0.745221859230832,0.04509363207855757
India,IND,38,25,0.02682670253050857,0.745221859230832,0.04509363207855757
India,IND,35,26,0.027795640543172784,0.745221859230832,0.04509363207855757
India,IND,38,27,0.028900284420988413,0.745221859230832,0.04509363207855757
India,IND,33,28,0.030155477690423434,0.745221859230832,0.04509363207855757
India,IND,53,29,0.031569939675972915,0.745221859230832,0.04509363207855757
India,IND,36,30,0.03313724055922619,0.745221859230832,0.04509363207855757
India,IND,40,31,0.034857328188665875,0.745221859230832,0.04509363207855757
India,IND,59,32,0.03672498417291422,0.745221859230832,0.04509363207855757
India,IND,45,33,0.038707488117006535,0.745221859230832,0.04509363207855757
India,IND,56,34,0.04078026502001448,0.745221859230832,0.04509363207855757
India,IND,58,35,0.04292015446443746,0.745221859230832,0.04509363207855757
India,IND,69,36,0.04509363207855757,0.745221859230832,0.04509363207855757
Bangladesh,BGD,3,0,0.014473302763733688,0.9606086078997018,0.03379410705868218
Bangladesh,BGD,5,1,0.017319907928415167,0.9606086078997018,0.03379410705868218
