country,iso3c,deaths,days_since_tenth_death,deaths_per_million_smoothed,total_deaths_per_million,deaths_per_million_smoothed_yesterday
Nigeria,NGA,3,0,0.0042126885422376385,0.5462674768579144,0.03160521231881418
Nigeria,NGA,0,1,0.004659188289263742,0.5462674768579144,0.03160521231881418
Nigeria,NGA,0,2,0.00518427799492802,0.5462674768579144,0.03160521231881418
Nigeria,NGA,1,3,0.005810012980883568,0.5462674768579144,0.03160521231881418
Nigeria,NGA,1,4,0.006537866875898474,0.5462674768579144,0.03160521231881418
Nigeria,NGA,1,5,0.0073616301663914675,0.5462674768579144,0.03160521231881418
Nigeria,NGA,4,6,0.008267564177786934,0.5462674768579144,0.03160521231881418
Nigeria,NGA,2,7,0.009246696355257366,0.5462674768579144,0.03160521231881418
Nigeria,NGA,2,8,0.010319265222263783,0.5462674768579144,0.03160521231881418
Nigeria,NGA,1,9,0.011522627465470767,0.5462674768579144,0.03160521231881418
Nigeria,NGA,0,10,0.01288670232468823,0.5462674768579144,0.03160521231881418
Nigeria,NGA,6,11,0.014401189499100462,0.5462674768579144,0.03160521231881418
Nigeria,NGA,3,12,0.016052747369356166,0.5462674768579144,0.03160521231881418
Nigeria,NGA,1,13,0.017850640827298626,0.5462674768579144,0.03160521231881418
Nigeria,NGA,3,14,0.019789357310237857,0.5462674768579144,0.03160521231881418
Nigeria,NGA,5,15,0.02185094890424522,0.5462674768579144,0.03160521231881418
Nigeria,NGA,0,16,0.023989517311591636,0.5462674768579144,0.03160521231881418
Nigeria,NGA,4,17,0.026138465481414117,0.5462674768579144,0.03160521231881418
Nigeria,NGA,7,18,0.028172834081363302,0.5462674768579144,0.03160521231881418
Nigeria,NGA,7,19,0.02993988201090194,0.5462674768579144,0.03160521231881418
Nigeria,NGA,10,20,0.031298483454530505,0.5462674768579144,0.03160521231881418
Nigeria,NGA,17,21,0.03216804434790484,0.5462674768579144,0.03160521231881418
Nigeria,NGA,2,22,0.03253124039961022,0.5462674768579144,0.03160521231881418
Nigeria,NGA,6,23,0.03254388280309445,0.5462674768579144,0.03160521231881418
Nigeria,NGA,5,24,0.032332272164144825,0.5462674768579144,0.03160521231881418
Nigeria,NGA,5,25,0.03199596792778864,0.5462674768579144,0.03160521231881418
Nigeria,NGA,4,26,0.03160521231881418,0.5462674768579144,0.03160521231881418
Bangladesh,BGD,3,0,0.01497037721285142,1.2332975030454236,0.031923322442288744
Bangladesh,BGD,5,1,0.017794828099294276,1.2332975030454236,0.031923322442288744
Bangladesh,BGD,3,2,0.020777073353934323,1.2332975030454236,0.031923322442288744
