state,days_since_tenth_death,deaths_per_million_smoothed,total_deaths_per_million,deaths_per_million_smoothed_yesterday,total_deaths
OR,0,0.336816221171878,25.294025145601715,0.5251880593004676,106
OR,1,0.34870889647604913,25.294025145601715,0.5251880593004676,106
OR,2,0.36632823812975235,25.294025145601715,0.5251880593004676,106
OR,3,0.38723445219631875,25.294025145601715,0.5251880593004676,106
OR,4,0.4136188514395767,25.294025145601715,0.5251880593004676,106
OR,5,0.44887469375374495,25.294025145601715,0.5251880593004676,106
OR,6,0.49155556595679384,25.294025145601715,0.5251880593004676,106
OR,7,0.5401241999468533,25.294025145601715,0.5251880593004676,106
OR,8,0.594282167255078,25.294025145601715,0.5251880593004676,106
OR,9,0.6562741052211711,25.294025145601715,0.5251880593004676,106
OR,10,0.7220187289752418,25.294025145601715,0.5251880593004676,106
OR,11,0.7782062340902814,25.294025145601715,0.5251880593004676,106
OR,12,0.8172453402506108,25.294025145601715,0.5251880593004676,106
OR,13,0.8305015391858358,25.294025145601715,0.5251880593004676,106
OR,14,0.826561472802988,25.294025145601715,0.5251880593004676,106
OR,15,0.8168399340107161,25.294025145601715,0.5251880593004676,106
OR,16,0.8063390005718538,25.294025145601715,0.5251880593004676,106
OR,17,0.8019494507906059,25.294025145601715,0.5251880593004676,106
OR,18,0.8005777685030502,25.294025145601715,0.5251880593004676,106
OR,19,0.7912144200610347,25.294025145601715,0.5251880593004676,106
OR,20,0.7627513199104378,25.294025145601715,0.5251880593004676,106
OR,21,0.7172476965473671,25.294025145601715,0.5251880593004676,106
OR,22,0.6676488184532202,25.294025145601715,0.5251880593004676,106
OR,23,0.6273889105781099,25.294025145601715,0.5251880593004676,106
OR,24,0.6025984352222993,25.294025145601715,0.5251880593004676,106
OR,25,0.5932043843354246,25.294025145601715,0.5251880593004676,106
OR,26,0.5969970171297034,25.294025145601715,0.5251880593004676,106
OR,27,0.6050004528844413,25.294025145601715,0.5251880593004676,106
OR,28,0.6166163302347477,25.294025145601715,0.5251880593004676,106
OR,29,0.6313584773964223,25.294025145601715,0.5251880593004676,106
OR,30,0.6482098421691993,25.294025145601715,0.5251880593004676,106
OR,31,0.6656462860570261,25.294025145601715,0.5251880593004676,106
OR,32,0.6747461515179408,25.294025145601715,0.5251880593004676,106
OR,33,0.6600769268374181,25.294025145601715,0.5251880593004676,106
OR,34,0.6267014458108654,25.294025145601715,0.5251880593004676,106
OR,35,0.5803016173614226,25.294025145601715,0.5251880593004676,106
OR,36,0.5251880593004676,25.294025145601715,0.5251880593004676,106
TX,0,0.09971682359064739,30.172276381535752,1.0758014839991237,866
TX,1,0.12418211651218546,30.172276381535752,1.0758014839991237,866
TX,2,0.15187512854790658,30.172276381535752,1.0758014839991237,866
TX,3,0.18438161046281235,30.172276381535752,1.0758014839991237,866
TX,4,0.22358318584427248,30.172276381535752,1.0758014839991237,866
TX,5,0.27095097851575106,30.172276381535752,1.0758014839991237,866
TX,6,0.32697034983054235,30.172276381535752,1.0758014839991237,866
TX,7,0.38747033109607637,30.172276381535752,1.0758014839991237,866
TX,8,0.44666315179999455,30.172276381535752,1.0758014839991237,866
TX,9,0.5013031041462545,30.172276381535752,1.0758014839991237,866
TX,10,0.5506312036460117,30.172276381535752,1.0758014839991237,866
TX,11,0.5948413979741487,30.172276381535752,1.0758014839991237,866
TX,12,0.6364901960202618,30.172276381535752,1.0758014839991237,866
TX,13,0.679732186490671,30.172276381535752,1.0758014839991237,866
TX,14,0.7256582682456423,30.172276381535752,1.0758014839991237,866
TX,15,0.7718041711249319,30.172276381535752,1.0758014839991237,866
TX,16,0.8159240756757407,30.172276381535752,1.0758014839991237,866
TX,17,0.8573449769488695,30.172276381535752,1.0758014839991237,866
TX,18,0.896607249957403,30.172276381535752,1.0758014839991237,866
TX,19,0.936293133508245,30.172276381535752,1.0758014839991237,866
TX,20,0.9727724457468933,30.172276381535752,1.0758014839991237,866
TX,21,0.9954629593055487,30.172276381535752,1.0758014839991237,866
TX,22,0.9964504016687074,30.172276381535752,1.0758014839991237,866
TX,23,0.978176347250941,30.172276381535752,1.0758014839991237,866
TX,24,0.9468641205255914,30.172276381535752,1.0758014839991237,866
TX,25,0.9119094387659467,30.172276381535752,1.0758014839991237,866
TX,26,0.8829210354114891,30.172276381535752,1.0758014839991237,866
