country,iso3c,days_since_tenth_death,deaths_per_million_smoothed,total_deaths_per_million,deaths_per_million_smoothed_yesterday
India,IND,0,0.001001821429256359,0.29941949701238785,0.02242033136235028
India,IND,1,0.0012999309053006126,0.29941949701238785,0.02242033136235028
India,IND,2,0.0016756352155773556,0.29941949701238785,0.02242033136235028
India,IND,3,0.002144689878165358,0.29941949701238785,0.02242033136235028
India,IND,4,0.0027229957717971667,0.29941949701238785,0.02242033136235028
India,IND,5,0.0034375184344046994,0.29941949701238785,0.02242033136235028
India,IND,6,0.004315185914365227,0.29941949701238785,0.02242033136235028
India,IND,7,0.005367394490398742,0.29941949701238785,0.02242033136235028
India,IND,8,0.006588088982060037,0.29941949701238785,0.02242033136235028
India,IND,9,0.007959362048834576,0.29941949701238785,0.02242033136235028
India,IND,10,0.009444426131938315,0.29941949701238785,0.02242033136235028
India,IND,11,0.011054481133545959,0.29941949701238785,0.02242033136235028
India,IND,12,0.012801830520545277,0.29941949701238785,0.02242033136235028
India,IND,13,0.01463812152469344,0.29941949701238785,0.02242033136235028
India,IND,14,0.016466653028633663,0.29941949701238785,0.02242033136235028
India,IND,15,0.018191653063233348,0.29941949701238785,0.02242033136235028
India,IND,16,0.01974853950772049,0.29941949701238785,0.02242033136235028
India,IND,17,0.021050815250076012,0.29941949701238785,0.02242033136235028
India,IND,18,0.02202209967983012,0.29941949701238785,0.02242033136235028
India,IND,19,0.022656455502519247,0.29941949701238785,0.02242033136235028
India,IND,20,0.022959121351116475,0.29941949701238785,0.02242033136235028
India,IND,21,0.022953776856052887,0.29941949701238785,0.02242033136235028
India,IND,22,0.022740215469486125,0.29941949701238785,0.02242033136235028
India,IND,23,0.02242033136235028,0.29941949701238785,0.02242033136235028
Pakistan,PAK,0,0.010343222174325449,0.5230543755548324,0.040511342246810675
Pakistan,PAK,1,0.011916215645146024,0.5230543755548324,0.040511342246810675
Pakistan,PAK,2,0.01355641156198078,0.5230543755548324,0.040511342246810675
Pakistan,PAK,3,0.015147480942276045,0.5230543755548324,0.040511342246810675
Pakistan,PAK,4,0.016609558376659256,0.5230543755548324,0.040511342246810675
Pakistan,PAK,5,0.01789929818752652,0.5230543755548324,0.040511342246810675
Pakistan,PAK,6,0.01905485848944112,0.5230543755548324,0.040511342246810675
Pakistan,PAK,7,0.02009614721102874,0.5230543755548324,0.040511342246810675
Pakistan,PAK,8,0.02105739001563231,0.5230543755548324,0.040511342246810675
Pakistan,PAK,9,0.022049145819369138,0.5230543755548324,0.040511342246810675
Pakistan,PAK,10,0.023118035992777383,0.5230543755548324,0.040511342246810675
Pakistan,PAK,11,0.024304000041348955,0.5230543755548324,0.040511342246810675
Pakistan,PAK,12,0.02569498230524982,0.5230543755548324,0.040511342246810675
Pakistan,PAK,13,0.02733909100394456,0.5230543755548324,0.040511342246810675
Pakistan,PAK,14,0.02923012045461212,0.5230543755548324,0.040511342246810675
Pakistan,PAK,15,0.03123110491521438,0.5230543755548324,0.040511342246810675
Pakistan,PAK,16,0.03328939762364841,0.5230543755548324,0.040511342246810675
Pakistan,PAK,17,0.0354413003040935,0.5230543755548324,0.040511342246810675
Pakistan,PAK,18,0.037873913566273114,0.5230543755548324,0.040511342246810675
Pakistan,PAK,19,0.040511342246810675,0.5230543755548324,0.040511342246810675
Japan,JPN,0,0.011272612572868787,1.1538847585259044,0.08373425898986174
Japan,JPN,1,0.012941167484515988,1.1538847585259044,0.08373425898986174
Japan,JPN,2,0.014395236622300725,1.1538847585259044,0.08373425898986174
Japan,JPN,3,0.015571921769488514,1.1538847585259044,0.08373425898986174
Japan,JPN,4,0.016431677945366454,1.1538847585259044,0.08373425898986174
Japan,JPN,5,0.016991553794634583,1.1538847585259044,0.08373425898986174
Japan,JPN,6,0.01731413771894234,1.1538847585259044,0.08373425898986174
Japan,JPN,7,0.01745471528994933,1.1538847585259044,0.08373425898986174
Japan,JPN,8,0.017432457573320067,1.1538847585259044,0.08373425898986174
Japan,JPN,9,0.017357185462971117,1.1538847585259044,0.08373425898986174
Japan,JPN,10,0.017339357667002387,1.1538847585259044,0.08373425898986174
Japan,JPN,11,0.017362709738412654,1.1538847585259044,0.08373425898986174
Japan,JPN,12,0.017311059201195713,1.1538847585259044,0.08373425898986174
Japan,JPN,13,0.017116584793163504,1.1538847585259044,0.08373425898986174
Japan,JPN,14,0.016773482105470448,1.1538847585259044,0.08373425898986174
Japan,JPN,15,0.01643193241188842,1.1538847585259044,0.08373425898986174
Japan,JPN,16,0.016203226693715895,1.1538847585259044,0.08373425898986174
Japan,JPN,17,0.01616908094549223,1.1538847585259044,0.08373425898986174
Japan,JPN,18,0.01637700533114683,1.1538847585259044,0.08373425898986174
Japan,JPN,19,0.016869764641045955,1.1538847585259044,0.08373425898986174
Japan,JPN,20,0.017706152233937258,1.1538847585259044,0.08373425898986174
Japan,JPN,21,0.018983961926826026,1.1538847585259044,0.08373425898986174
Japan,JPN,22,0.02073178518038418,1.1538847585259044,0.08373425898986174
Japan,JPN,23,0.022926582200995263,1.1538847585259044,0.08373425898986174
Japan,JPN,24,0.025421067322419454,1.1538847585259044,0.08373425898986174
Japan,JPN,25,0.028029630318658103,1.1538847585259044,0.08373425898986174
Japan,JPN,26,0.030562299582057747,1.1538847585259044,0.08373425898986174
Japan,JPN,27,0.03289191126323496,1.1538847585259044,0.08373425898986174
Japan,JPN,28,0.035178900904297455,1.1538847585259044,0.08373425898986174
Japan,JPN,29,0.037675244601886114,1.1538847585259044,0.08373425898986174
