state,days_since_tenth_death_m50,deaths_per_million_smoothed,total_deaths_per_million,deaths_per_million_smoothed_yesterday,total_deaths
OR,0,0.3333219920577373,39.61139786952721,0.40570796307109946,166
OR,1,0.3178836308622095,39.61139786952721,0.40570796307109946,166
OR,2,0.30482755811438206,39.61139786952721,0.40570796307109946,166
OR,3,0.2916255641715519,39.61139786952721,0.40570796307109946,166
OR,4,0.27655615124835614,39.61139786952721,0.40570796307109946,166
OR,5,0.2605845979883308,39.61139786952721,0.40570796307109946,166
OR,6,0.2456755628252125,39.61139786952721,0.40570796307109946,166
OR,7,0.23377010584384322,39.61139786952721,0.40570796307109946,166
OR,8,0.2263653623383119,39.61139786952721,0.40570796307109946,166
OR,9,0.2246599262447135,39.61139786952721,0.40570796307109946,166
OR,10,0.22876580712286657,39.61139786952721,0.40570796307109946,166
OR,11,0.2372620794320711,39.61139786952721,0.40570796307109946,166
OR,12,0.2486176112481234,39.61139786952721,0.40570796307109946,166
OR,13,0.26219492940201117,39.61139786952721,0.40570796307109946,166
OR,14,0.2775391354722358,39.61139786952721,0.40570796307109946,166
OR,15,0.2939981368873713,39.61139786952721,0.40570796307109946,166
OR,16,0.31017462708031873,39.61139786952721,0.40570796307109946,166
OR,17,0.32486954781738897,39.61139786952721,0.40570796307109946,166
OR,18,0.3383508788361166,39.61139786952721,0.40570796307109946,166
OR,19,0.3509864742740085,39.61139786952721,0.40570796307109946,166
OR,20,0.36303193537043293,39.61139786952721,0.40570796307109946,166
OR,21,0.37457325655375767,39.61139786952721,0.40570796307109946,166
OR,22,0.38563425810909874,39.61139786952721,0.40570796307109946,166
OR,23,0.39614829644552285,39.61139786952721,0.40570796307109946,166
OR,24,0.40570796307109946,39.61139786952721,0.40570796307109946,166
UT,0,0.658772211191808,40.49216966851781,0.55031904575958,128
UT,1,0.6437432262939515,40.49216966851781,0.55031904575958,128
UT,2,0.6260430876856395,40.49216966851781,0.55031904575958,128
UT,3,0.6064922111980919,40.49216966851781,0.55031904575958,128
UT,4,0.585275600538358,40.49216966851781,0.55031904575958,128
UT,5,0.5632463208816875,40.49216966851781,0.55031904575958,128
UT,6,0.5440171971068697,40.49216966851781,0.55031904575958,128
UT,7,0.5298363754182036,40.49216966851781,0.55031904575958,128
UT,8,0.5215970600527375,40.49216966851781,0.55031904575958,128
UT,9,0.5174534266289688,40.49216966851781,0.55031904575958,128
UT,10,0.5167091913984346,40.49216966851781,0.55031904575958,128
UT,11,0.5193555759359082,40.49216966851781,0.55031904575958,128
UT,12,0.5256541159985049,40.49216966851781,0.55031904575958,128
UT,13,0.5339722153748871,40.49216966851781,0.55031904575958,128
UT,14,0.5424385087688358,40.49216966851781,0.55031904575958,128
UT,15,0.55031904575958,40.49216966851781,0.55031904575958,128
AR,0,0.6413330039788918,54.7477043292162,1.2283687328438342,165
AR,1,0.6609721009264715,54.7477043292162,1.2283687328438342,165
AR,2,0.6774449913855122,54.7477043292162,1.2283687328438342,165
AR,3,0.6948325411512324,54.7477043292162,1.2283687328438342,165
AR,4,0.7155437007196901,54.7477043292162,1.2283687328438342,165
AR,5,0.741367523121452,54.7477043292162,1.2283687328438342,165
AR,6,0.773415418824206,54.7477043292162,1.2283687328438342,165
AR,7,0.8111885063348178,54.7477043292162,1.2283687328438342,165
AR,8,0.8521781276506921,54.7477043292162,1.2283687328438342,165
AR,9,0.8897548935575703,54.7477043292162,1.2283687328438342,165
AR,10,0.9251896123560656,54.7477043292162,1.2283687328438342,165
AR,11,0.9616346419212223,54.7477043292162,1.2283687328438342,165
AR,12,1.0002427994201835,54.7477043292162,1.2283687328438342,165
AR,13,1.0399809932229898,54.7477043292162,1.2283687328438342,165
AR,14,1.07452026381695,54.7477043292162,1.2283687328438342,165
AR,15,1.1016385344603987,54.7477043292162,1.2283687328438342,165
AR,16,1.122239877077774,54.7477043292162,1.2283687328438342,165
AR,17,1.1428289485816203,54.7477043292162,1.2283687328438342,165
AR,18,1.1671439148122262,54.7477043292162,1.2283687328438342,165
AR,19,1.196675457220929,54.7477043292162,1.2283687328438342,165
AR,20,1.2283687328438342,54.7477043292162,1.2283687328438342,165
TN,0,0.7893435822245417,64.10625685929563,0.8950157645418299,434
TN,1,0.780639790831924,64.10625685929563,0.8950157645418299,434
TN,2,0.7790320063412008,64.10625685929563,0.8950157645418299,434
TN,3,0.7826042148506944,64.10625685929563,0.8950157645418299,434
TN,4,0.7884252101769923,64.10625685929563,0.8950157645418299,434
TN,5,0.7924647028328812,64.10625685929563,0.8950157645418299,434
TN,6,0.7957887682183563,64.10625685929563,0.8950157645418299,434
TN,7,0.8004248496273508,64.10625685929563,0.8950157645418299,434
TN,8,0.8068592937802925,64.10625685929563,0.8950157645418299,434
TN,9,0.8164780855471561,64.10625685929563,0.8950157645418299,434
TN,10,0.8311646481709104,64.10625685929563,0.8950157645418299,434
TN,11,0.8529081960185481,64.10625685929563,0.8950157645418299,434
TN,12,0.8817991815299239,64.10625685929563,0.8950157645418299,434
TN,13,0.9162278914103537,64.10625685929563,0.8950157645418299,434
TN,14,0.949837506449019,64.10625685929563,0.8950157645418299,434
TN,15,0.9756274704244545,64.10625685929563,0.8950157645418299,434
TN,16,0.9895258547520778,64.10625685929563,0.8950157645418299,434
TN,17,0.9910296493690423,64.10625685929563,0.8950157645418299,434
TN,18,0.9813188633994482,64.10625685929563,0.8950157645418299,434
TN,19,0.9646665011401848,64.10625685929563,0.8950157645418299,434
TN,20,0.9438193062251677,64.10625685929563,0.8950157645418299,434
