state,days_since_tenth_death,deaths_per_million_smoothed,total_deaths_per_million,deaths_per_million_smoothed_yesterday,total_deaths
OR,0,0.3368518707402353,28.87336832658309,0.849251515053899,121
OR,1,0.35118978630039444,28.87336832658309,0.849251515053899,121
OR,2,0.37044033893041134,28.87336832658309,0.849251515053899,121
OR,3,0.3928346054091295,28.87336832658309,0.849251515053899,121
OR,4,0.42061209609965317,28.87336832658309,0.849251515053899,121
OR,5,0.4561716117184957,28.87336832658309,0.849251515053899,121
OR,6,0.49809450348132456,28.87336832658309,0.849251515053899,121
OR,7,0.545999209107059,28.87336832658309,0.849251515053899,121
OR,8,0.5988012260811314,28.87336832658309,0.849251515053899,121
OR,9,0.6567366846067205,28.87336832658309,0.849251515053899,121
OR,10,0.7175394066366839,28.87336832658309,0.849251515053899,121
OR,11,0.7697915563985296,28.87336832658309,0.849251515053899,121
OR,12,0.8071210530006321,28.87336832658309,0.849251515053899,121
OR,13,0.8213895041580738,28.87336832658309,0.849251515053899,121
OR,14,0.8223597118773316,28.87336832658309,0.849251515053899,121
OR,15,0.8162663038167753,28.87336832658309,0.849251515053899,121
OR,16,0.8077596098171481,28.87336832658309,0.849251515053899,121
OR,17,0.8025875294324849,28.87336832658309,0.849251515053899,121
OR,18,0.7984822162741688,28.87336832658309,0.849251515053899,121
OR,19,0.7861084682274235,28.87336832658309,0.849251515053899,121
OR,20,0.7595285928191313,28.87336832658309,0.849251515053899,121
OR,21,0.7177325947520358,28.87336832658309,0.849251515053899,121
OR,22,0.6730036389148328,28.87336832658309,0.849251515053899,121
OR,23,0.635207391048192,28.87336832658309,0.849251515053899,121
OR,24,0.6095498680453421,28.87336832658309,0.849251515053899,121
OR,25,0.5964995616298125,28.87336832658309,0.849251515053899,121
OR,26,0.5938345642585618,28.87336832658309,0.849251515053899,121
OR,27,0.5945758843786118,28.87336832658309,0.849251515053899,121
OR,28,0.5977150499711095,28.87336832658309,0.849251515053899,121
OR,29,0.6045486161729386,28.87336832658309,0.849251515053899,121
OR,30,0.6137942799888937,28.87336832658309,0.849251515053899,121
OR,31,0.6243158794847125,28.87336832658309,0.849251515053899,121
OR,32,0.6322950591483352,28.87336832658309,0.849251515053899,121
OR,33,0.6276085969141031,28.87336832658309,0.849251515053899,121
OR,34,0.617460002023588,28.87336832658309,0.849251515053899,121
OR,35,0.6099540462709074,28.87336832658309,0.849251515053899,121
OR,36,0.6128763057662956,28.87336832658309,0.849251515053899,121
OR,37,0.6336213791953322,28.87336832658309,0.849251515053899,121
OR,38,0.674719801710083,28.87336832658309,0.849251515053899,121
OR,39,0.7288088796400678,28.87336832658309,0.849251515053899,121
OR,40,0.7886259488872038,28.87336832658309,0.849251515053899,121
OR,41,0.849251515053899,28.87336832658309,0.849251515053899,121
TX,0,0.10077246427365627,34.94548869593575,1.003291566375291,1003
TX,1,0.1256887683100272,34.94548869593575,1.003291566375291,1003
TX,2,0.1543556917537632,34.94548869593575,1.003291566375291,1003
TX,3,0.18761802229900118,34.94548869593575,1.003291566375291,1003
TX,4,0.22712392681257587,34.94548869593575,1.003291566375291,1003
TX,5,0.2739133228872344,34.94548869593575,1.003291566375291,1003
TX,6,0.3283332483111137,34.94548869593575,1.003291566375291,1003
TX,7,0.3865785461767257,34.94548869593575,1.003291566375291,1003
TX,8,0.44421420505423864,34.94548869593575,1.003291566375291,1003
TX,9,0.4986413938854874,34.94548869593575,1.003291566375291,1003
TX,10,0.5483164910946813,34.94548869593575,1.003291566375291,1003
TX,11,0.5938209473497915,34.94548869593575,1.003291566375291,1003
TX,12,0.637507973886482,34.94548869593575,1.003291566375291,1003
TX,13,0.6818870316437108,34.94548869593575,1.003291566375291,1003
TX,14,0.7279617771603671,34.94548869593575,1.003291566375291,1003
TX,15,0.7736848852017084,34.94548869593575,1.003291566375291,1003
TX,16,0.8173053516602887,34.94548869593575,1.003291566375291,1003
TX,17,0.8574453189473481,34.94548869593575,1.003291566375291,1003
TX,18,0.8952818216626727,34.94548869593575,1.003291566375291,1003
TX,19,0.9319830988690254,34.94548869593575,1.003291566375291,1003
TX,20,0.9646721714962789,34.94548869593575,1.003291566375291,1003
TX,21,0.9849540341609996,34.94548869593575,1.003291566375291,1003
TX,22,0.9866394363988832,34.94548869593575,1.003291566375291,1003
TX,23,0.971974251879216,34.94548869593575,1.003291566375291,1003
TX,24,0.946067817440755,34.94548869593575,1.003291566375291,1003
TX,25,0.9171305700013913,34.94548869593575,1.003291566375291,1003
TX,26,0.8929192023480299,34.94548869593575,1.003291566375291,1003
TX,27,0.8792279892035536,34.94548869593575,1.003291566375291,1003
TX,28,0.877259237585769,34.94548869593575,1.003291566375291,1003
TX,29,0.8869195532230492,34.94548869593575,1.003291566375291,1003
TX,30,0.9067028562913987,34.94548869593575,1.003291566375291,1003
TX,31,0.932697469274579,34.94548869593575,1.003291566375291,1003
TX,32,0.9631728241322379,34.94548869593575,1.003291566375291,1003
TX,33,0.9988400383729675,34.94548869593575,1.003291566375291,1003
TX,34,1.03553963950839,34.94548869593575,1.003291566375291,1003
TX,35,1.0662541570135673,34.94548869593575,1.003291566375291,1003
TX,36,1.0799864436609472,34.94548869593575,1.003291566375291,1003
TX,37,1.0732228516688929,34.94548869593575,1.003291566375291,1003
TX,38,1.0524449618771767,34.94548869593575,1.003291566375291,1003
TX,39,1.0278915456467892,34.94548869593575,1.003291566375291,1003
TX,40,1.0092613493840537,34.94548869593575,1.003291566375291,1003
TX,41,1.000912347843906,34.94548869593575,1.003291566375291,1003
TX,42,1.0000790296320567,34.94548869593575,1.003291566375291,1003
TX,43,1.0012923782441767,34.94548869593575,1.003291566375291,1003
TX,44,1.003291566375291,34.94548869593575,1.003291566375291,1003
TN,0,0.5835557361983025,35.30275435339091,0.6837800010697599,239
TN,1,0.694452613511075,35.30275435339091,0.6837800010697599,239
TN,2,0.7964353315412354,35.30275435339091,0.6837800010697599,239
TN,3,0.8937455781786126,35.30275435339091,0.6837800010697599,239
TN,4,0.9858790406073674,35.30275435339091,0.6837800010697599,239
TN,5,1.0718013566988278,35.30275435339091,0.6837800010697599,239
TN,6,1.1496029748788827,35.30275435339091,0.6837800010697599,239
TN,7,1.2093546125558021,35.30275435339091,0.6837800010697599,239
TN,8,1.2337823949327607,35.30275435339091,0.6837800010697599,239
